# -------------------------------------------------------
# Code       ; L0123003
# Name       ; Flashy River at Bubry Creek
# Area (km2) ; 920
# Units      ; YYYYMMDDHH ; l/s ; mm/h ; mm/h ; degC ; mm/h
# -------------------------------------------------------
      Date;       Q;     Qmm;    Ptot;    Temp;      PE
2004010100;    5170;  0.0202;  0.0000; -9.9900;  0.0000
2004010101;    5156;  0.0202;  0.0000; -9.9900;  0.0000
2004010102;    5143;  0.0201;  0.0000; -9.9900;  0.0000
2004010103;    5130;  0.0201;  0.0000; -9.9900;  0.0000
2004010104;    5116;  0.0200;  0.0000; -9.9900;  0.0000
2004010105;    5103;  0.0200;  0.0000; -9.9900;  0.0000
2004010106;    5089;  0.0199;  0.0000; -9.9900;  0.0000
2004010107;    5076;  0.0199;  0.0000; -9.9900;  0.0100
2004010108;    5062;  0.0198;  0.0000; -9.9900;  0.0200
2004010109;    5049;  0.0198;  0.0000; -9.9900;  0.0200
2004010110;    4840;  0.0189;  0.0000; -9.9900;  0.0300
2004010111;    4796;  0.0188;  0.0000; -9.9900;  0.0300
2004010112;    5129;  0.0201;  0.0000; -9.9900;  0.0400
2004010113;    5121;  0.0200;  0.0000; -9.9900;  0.0400
2004010114;    5098;  0.0199;  0.0000; -9.9900;  0.0300
2004010115;    5074;  0.0199;  0.0000; -9.9900;  0.0300
2004010116;    5051;  0.0198;  0.0000; -9.9900;  0.0200
2004010117;    5019;  0.0196;  0.0000; -9.9900;  0.0200
2004010118;    4667;  0.0183;  0.0000; -9.9900;  0.0100
2004010119;    4897;  0.0192;  0.0000; -9.9900;  0.0000
2004010120;    5151;  0.0202;  0.0000; -9.9900;  0.0000
2004010121;    5145;  0.0201;  0.0000; -9.9900;  0.0000
2004010122;    5134;  0.0201;  0.0000; -9.9900;  0.0000
2004010123;    5123;  0.0200;  0.0000; -9.9900;  0.0000
2004010200;    5112;  0.0200;  0.0000; -9.9900;  0.0000
2004010201;    5100;  0.0200;  0.0000; -9.9900;  0.0000
2004010202;    5089;  0.0199;  0.0000; -9.9900;  0.0000
2004010203;    5078;  0.0199;  0.0000; -9.9900;  0.0000
2004010204;    5067;  0.0198;  0.0000; -9.9900;  0.0000
2004010205;    5056;  0.0198;  0.0000; -9.9900;  0.0000
2004010206;    5045;  0.0197;  0.0000; -9.9900;  0.0000
2004010207;    5033;  0.0197;  0.0000; -9.9900;  0.0100
2004010208;    5022;  0.0197;  0.0000; -9.9900;  0.0200
2004010209;    4963;  0.0194;  0.1300; -9.9900;  0.0300
2004010210;    4490;  0.0176;  0.1600; -9.9900;  0.0400
2004010211;    4606;  0.0180;  0.2000; -9.9900;  0.0400
2004010212;    5075;  0.0199;  0.3000; -9.9900;  0.0500
2004010213;    5105;  0.0200;  0.3700; -9.9900;  0.0500
2004010214;    5109;  0.0200;  0.1500; -9.9900;  0.0400
2004010215;    5113;  0.0200;  0.0400; -9.9900;  0.0400
2004010216;    5118;  0.0200;  0.8500; -9.9900;  0.0300
2004010217;    5002;  0.0196;  1.1400; -9.9900;  0.0200
2004010218;    5075;  0.0199;  0.9000; -9.9900;  0.0100
2004010219;    5292;  0.0207;  1.5600; -9.9900;  0.0000
2004010220;    5393;  0.0211;  2.3200; -9.9900;  0.0000
2004010221;    5495;  0.0215;  1.5900; -9.9900;  0.0000
2004010222;    5596;  0.0219;  1.7400; -9.9900;  0.0000
2004010223;    5725;  0.0224;  2.2300; -9.9900;  0.0000
2004010300;    5818;  0.0228;  2.7900; -9.9900;  0.0000
2004010301;    5883;  0.0230;  2.5400; -9.9900;  0.0000
2004010302;    5947;  0.0233;  1.7700; -9.9900;  0.0000
2004010303;    6011;  0.0235;  1.4200; -9.9900;  0.0000
2004010304;    6076;  0.0238;  1.2800; -9.9900;  0.0000
2004010305;    6140;  0.0240;  1.1000; -9.9900;  0.0000
2004010306;    6204;  0.0243;  1.2200; -9.9900;  0.0000
2004010307;    6278;  0.0246;  1.5900; -9.9900;  0.0100
2004010308;    6919;  0.0271;  2.3000; -9.9900;  0.0200
2004010309;    8466;  0.0331;  2.6200; -9.9900;  0.0300
2004010310;    9334;  0.0365;  2.6100; -9.9900;  0.0400
2004010311;   10822;  0.0423;  2.3500; -9.9900;  0.0400
2004010312;   13026;  0.0510;  2.5300; -9.9900;  0.0500
2004010313;   15230;  0.0596;  4.4500; -9.9900;  0.0500
2004010314;   18612;  0.0728;  3.3600; -9.9900;  0.0400
2004010315;   21838;  0.0855;  4.4900; -9.9900;  0.0400
2004010316;   26094;  0.1021;  7.1500; -9.9900;  0.0300
2004010317;   32474;  0.1271;  5.8400; -9.9900;  0.0200
2004010318;   45285;  0.1772;  4.8900; -9.9900;  0.0100
2004010319;   72846;  0.2850;  4.9300; -9.9900;  0.0000
2004010320;  110981;  0.4343;  6.1400; -9.9900;  0.0000
2004010321;  149600;  0.5854;  5.3900; -9.9900;  0.0000
2004010322;  186489;  0.7297;  5.4000; -9.9900;  0.0000
2004010323;  215829;  0.8445;  5.3600; -9.9900;  0.0000
2004010400;  244286;  0.9559;  6.0100; -9.9900;  0.0000
2004010401;  273393;  1.0698;  6.5100; -9.9900;  0.0000
2004010402;  303359;  1.1871;  5.9000; -9.9900;  0.0000
2004010403;  328000;  1.2835;  4.8100; -9.9900;  0.0000
2004010404;  352000;  1.3774;  2.8900; -9.9900;  0.0000
2004010405;  372625;  1.4581;  1.7500; -9.9900;  0.0000
2004010406;  384974;  1.5064;  3.6300; -9.9900;  0.0000
2004010407;  396401;  1.5511;  2.9700; -9.9900;  0.0200
2004010408;  414453;  1.6218;  2.8900; -9.9900;  0.0300
